不,not,fu|bu,
争,conflict,sō,araso-u
付,attach,fu,tsu-ku
令,orders,rei,
以,since,i,
仲,go-between,chū,naka
伝,transmit,den,tsuta-eru
位,rank,i,kurai
低,low,tei,hiku-i
例,example,rei,tato-eru
便,convenience,ben|bin,tayo-ri
信,trust,shin,
倉,storage,sō,kura
候,climate,kō,
借,borrow,shaku,ka-riru
停,halt,tei,
健,healthy,ken,
側,side,soku,kawa
働,work,dō,hatara-ku
億,hundred million,oku,
兆,portent|trillion,chō,kiza-shi
児,child,ji|ni,
共,together,kyō,tomo
兵,soldier,hei|hyō,tsuwamono
典,code,ten,
冷,cool,rei,tsume-tai|hi-eru|sa-meru
初,first,sho,hatsu|haji-me
別,separate,betsu,waka-reru
利,profit,ri,
刷,printing,satsu,su-ru
副,vice-,fuku,
功,achievement,kō,
加,add,ka,kuwa-eru
努,toil,do,tsuto-meru
労,labor,rō,negira-u
勇,courage,yū,isa-mu
包,wrap,hō,tsutsu-mu
卒,graduate,sotsu,
協,cooperation,kyō,
単,simple,tan,
博,Dr.,haku,
印,mark,in,shirushi
参,participate,san,mai-ru
史,history,shi,
司,director,shi,
各,each,kaku,ono-ono
告,tell,koku,tsu-geru
周,circumference,shū,mawa-ri
唱,chant,shō,tona-eru
喜,rejoice,ki,yoroko-bu
器,container,ki,utsuwa
囲,surround,i,kako-u
固,harden,ko,kata-maru
型,model,kei,kata
堂,public chamber,dō,
塩,salt,en,shio
士,gentleman,shi,
変,change,hen,ka-waru
夫,husband,fu fuu bu,otto
失,lose,shitsu,ushina-u
好,like,kō,su-ku|kono-mu
季,seasons,ki,
孫,grandchild,son,mago
完,perfect,kan,
官,government official,kan,
害,harm,gai,
察,guess,satsu,
巣,nest,sō,su
差,distinction,sa,
希,hope,ki,mare
席,seat,seki,
帯,sash,tai,obi
底,bottom,tei,soko
府,urban prefecture,fu,
康,ease,kō,
建,build,ken,ta-teru
径,diameter,kei,
徒,junior,to,
得,acquire,toku,e-ru
必,without fail,hitsu,kanara-zu
念,thought,nen,
愛,love,ai,
成,become,sei,na-ru
戦,war,sen,ikusa|tataka-u
折,fold,setsu,o-ru
挙,raise,kyo,a-geru
改,reformation,kai,arata-meru
救,salvation,kyū,suku-u
敗,failure,hai,yabu-reru
散,scatter,san,chi-ru
料,fee,ryō,
旗,national flag,ki,hata
昨,previous,saku,
景,scenery,kei,
最,most,sai,mo|motto-mo
望,hope,bō,nozo-mu
未,un-,mi,ima-da
末,end,matsu,sue
札,tag,satsu,fuda
材,lumber,zai,
束,bundle,soku,taba|tsuka
松,pine,shō,matsu
果,fruit|accomplish,ka,ha-tasu
栄,prosperity,ei,saka-eru
案,plan,an,
梅,apricot,bai,ume
械,contraption,kai,
極,poles,kyoku,kiwa-meru
標,signpost,hyō,
機,machine,ki,hata
欠,lack,ketsu,ka-keru
歴,curriculum,reki,
残,remainder,zan,noko-ru
殺,kill,satsu,koro-su
毒,poison,doku,
氏,family name,shi,uji
民,people,min,tami
求,request,kyū,moto-mu
治,govern,chi|ji,osa-meru|nao-ru
法,method,hō,
泣,cry,kyū,na-ku
浅,shallow,sen,asa-i
浴,bathe,yoku,abi-ru
清,pure,sei|shō,kiyo-raka
満,full,man,mi-chiru
漁,fishing,ryō|gyō,asa-ru
灯,lamp,tō,hi
無,nothing,mu|bu,na-i
然,so,zen|nen,shika-shi
焼,bake,shō,ya-ku
照,illuminate,shō,te-rasu
熱,heat,netsu,atsu-i
牧,breed,boku,maki
特,special,toku,
産,give birth,san,u-mu
的,target,teki,mato
省,government ministry,sho|sei,habu-ku
祝,celebrate,shuku,iwa-u
票,ballot,hyō,
種,kind|seed,shu,tane
積,accumulate,seki,tsu-mu
競,emulate,kyō,kiso-u
笑,laugh,shō,wara-u
管,pipe,kan,kuda
節,node,setsu,fushi
粉,flour,fun,ko|kona
紀,chronicle,ki,
約,promise,yaku,
結,tie,ketsu,musu-bu|yu-u
給,salary,kyū,tama-u
続,continue,zoku,tsudu-ku
置,put,chi,o-ku
老,old man,rō,o-iru
胃,stomach,i,
脈,vein,myaku,
腸,intestines,chō,
臣,retainer,shin,
航,cruise,kō,
良,good,ryō,yo-i
芸,art,gei,
芽,bud,ga,me
英,England,ei,
菜,vegetable,sai,na
街,city,gai,machi
衣,clothes,i,koromo
要,need,yō,i-ru
覚,memorize,kaku,obo-eru|sa-meru
観,observe,kan,mi-ru
訓,instruction,kun,
試,test,shi,kokoromi-ru|tame-su
説,theory,setsu,to-ku
課,section,ka,
議,deliberation,gi,
象,elephant,zō|shō,
貨,freight,ka,
貯,savings,cho,ta-meru
費,expense,hi,tsui-yasu
賞,prize,shō,
軍,army,gun,
輪,wheel,rin,wa
辞,resign,ji,ya-meru
辺,environs,hen,ata-ri
連,take along,ren,tsu-reru|tsura-neru
達,attain,,tachi
選,choose,sen,era-bu
郡,county,gun,
量,quantity,ryō,
録,record,roku,
鏡,mirror,kyō,kagami
関,related,kan,seki
陸,land,riku,
隊,group,tai,
静,quiet,sei,shizu-ka
順,obey,jun,
願,request,gan,nega-u
類,sort,rui,
飛,fly,hi,to-bu
飯,meal,han,meshi
養,foster,yō,yashina-u
験,test,ken,
