来,come,rai,ku-ru
週,week,shū,
行,go,kō|gyō,i-ku|yu-ku|okonau
今,now,kon,ima
年,year,nen,toshi
何,what,ka,nani|nan
人,person,jin|nin,hito
気,spirit,ki|ke,
一,one,ichi|itsu,hito-tsu
二,two,ni|ji,futa-tsu
三,three,san,mit-tsu
四,four,shi,yot-tsu|yon
五,five,go,itsu-tsu
六,six,roku,mut-tsu
七,seven,shichi,nana-tsu
八,eight,hachi,yat-tsu
九,nine,ku|kyū,kokono-tsu
十,ten,jū,tō
百,hundred,hyaku,momo
千,thousand,sen,chi
大,large,dai,ō-kii
小,small,shō,chii-sai
私,me,shi,watakushi|watashi
高,tall|high,kō,taka-i
安,cheap,an,yasu-i
用,use,yō,mochi-iru
店,store,ten,mise
店,store,ten,mise
員,member,in,
父,father,fu,chichi|tou
母,mother,bo,haha|kaa
分,minute|understand,fun|bun,wa-karu
前,in front,zen,mae
後,behind,go|kou,nochi|ushi-ro|ato
午,noon,go,uma
白,white,haku,shiro
中,inside|middle,chū,naka
入,enter,nyū,hai-ru|i-ru
火,fire,ka,hi
水,water,sui,mizu
金,gold,kin,kane
毎,every,mai,
朝,morning,chō,asa
時,time,ji,toki
間,interval,kan|ken,ma|aida
半,half,han,naka-ba
日,day|sun,nichi,hi
月,month|moon,gatsu|getsu,tsuki
土,soil,do,tsuchi
回,-times|to revolve,kai,
部,part,bu,
帰,return home,ki,kae-ru
本,book,hon,moto
木,tree,moku|boku,ki
課,section,ka,
事,abstract thing,ji,koto
仕,serve,shi,tsuka-eru
昼,daytime,chū,hiru
夜,night,ya,yoru
見,see,ken,mi-ru
食,eat|meal,shoku,ta-beru|ku-u
薬,medicine,yaku,kusuri
買,buy,bai,ka-u
飲,drink,in,no-mu
休,rest,kyū,yasu-mu
会,association,kai|e,a-u
議,deliberation,gi,
書,write,sho,ka-ku
読,read,doku,yo-mu
国,country,koku,kuni
先,previous,sen,saki
学,study,gaku,mana-bu
生,life,sei|shō,i-kiru|u-mu|nama
校,school,kō,
支,branch,shi,sasa-eru
社,company,sha,yashiro
終,end,shū,o-waru
語,language,go,kata-ru
子,child,shi|su,ko
男,male,dan|nan,otoko
女,female,jo|nyo,on'na
東,east,tō,higashi|azuma
京,capital,kyō|kei,
西,west,sei|sai,nishi
南,south,nan,minami
北,north,hoku,kita
便,convenience,ben|bin,tayo-ri
利,profit,ri,
言,say,gen|gon,i-u|koto
夕,evening,seki,yū
空,sky,kū,sora
